,coin,buy_date,buy,sell_date,sell,profit,profit_rate
0,BTC,2023-01-11,22496242.5,2023-02-05,28975505.0,6479262.5,0.2880153207807926
1,BTC,2023-02-15,31201593.0,2023-02-24,30861561.5,-340031.5,-0.010897889091752462
2,BTC,2023-03-17,36225103.5,2023-03-29,37382299.5,1157196.0,0.031944587818776
3,BTC,2023-04-10,39004492.5,2023-04-18,39610185.0,605692.5,0.015528788126137009
4,BTC,2023-08-08,39456718.5,2023-08-30,37090445.5,-2366273.0,-0.05997135823649399
5,BTC,2023-09-19,36518250.0,2023-10-12,36731625.0,213375.0,0.005842968926495657
6,BTC,2023-10-16,38716348.5,2023-11-15,50431771.5,11715423.0,0.3025962791919801
7,BTC,2023-12-01,51734854.5,2023-12-12,57576197.5,5841343.0,0.11290923800703836
0,ETH,2023-01-09,1664331.75,2023-01-27,2003997.5,339665.75,0.20408536338984098
1,ETH,2023-02-15,2149074.0,2023-02-23,2162918.0,13844.0,0.006441844254781361
2,ETH,2023-03-17,2362180.5,2023-04-02,2373812.5,11632.0,0.004924263831658927
3,ETH,2023-04-04,2472235.5,2023-04-20,2586706.0,114470.5,0.04630242547686092
4,ETH,2023-05-28,2543271.0,2023-06-21,2467765.5,-75505.5,-0.029688342296200446
5,ETH,2023-10-23,2362180.5,2023-11-17,2648675.0,286494.5,0.12128391543321944
6,ETH,2023-12-02,2887443.0,2023-12-12,3059469.5,172026.5,0.05957745313067652
0,NEO,2023-01-12,8994.494999999999,2023-03-01,16801.595,7807.100000000002,0.8679864739487879
1,NEO,2023-03-19,17868.93,2023-03-26,16331.830000000002,-1537.0999999999985,-0.08602081937754519
2,NEO,2023-04-16,17758.875,2023-04-21,14692.650000000001,-3066.2249999999985,-0.17265874105200912
3,NEO,2023-05-27,14217.105,2023-06-22,11214.390000000001,-3002.7149999999983,-0.21120439076731856
4,NEO,2023-07-01,13206.599999999999,2023-07-24,11274.36,-1932.239999999998,-0.1463086638498931
5,NEO,2023-09-05,10215.105,2023-09-24,9805.095000000001,-410.0099999999984,-0.04013761973078088
6,NEO,2023-10-23,10295.144999999999,2023-11-16,15462.265000000001,5167.120000000003,0.5018987105086915
7,NEO,2023-12-03,16408.2,2023-12-18,17091.45,683.25,0.04164076498336198
0,MTL,2023-01-12,1010.505,2023-02-01,1179.41,168.9050000000001,0.16714909871796785
1,MTL,2023-02-04,1330.665,2023-02-14,1294.3525,-36.3125,-0.027288987085404667
2,MTL,2023-02-19,2101.0499999999997,2023-03-04,1554.2225,-546.8274999999996,-0.26026391566121687
3,MTL,2023-04-01,1760.8799999999999,2023-04-19,1604.1975,-156.6824999999999,-0.0889796578983235
4,MTL,2023-06-03,1465.7324999999998,2023-06-28,1644.1775,178.44500000000016,0.12174458845662506
5,MTL,2023-07-10,2006.0024999999998,2023-07-14,1809.095,-196.9074999999998,-0.09815914985150807
6,MTL,2023-08-02,1965.9824999999998,2023-08-08,1724.1375,-241.8449999999998,-0.12301482846363068
7,MTL,2023-10-23,1895.9475,2023-11-18,2258.8700000000003,362.92250000000035,0.1914201210740278
0,XRP,2023-03-21,622.3109999999999,2023-04-09,666.6665,44.35550000000012,0.07127545551982871
1,XRP,2023-05-29,658.329,2023-06-10,673.663,15.33400000000006,0.023292305215173663
2,XRP,2023-07-13,1040.52,2023-07-31,905.547,-134.97299999999996,-0.1297168723330642
3,XRP,2023-10-03,731.3655,2023-10-11,666.6665,-64.69899999999996,-0.0884632922936616
4,XRP,2023-10-24,752.376,2023-11-16,826.5865,74.21050000000002,0.0986348581028635
5,XRP,2023-12-06,881.4404999999999,2023-12-12,857.571,-23.869499999999903,-0.027080103535065504
0,ETC,2023-02-04,30025.004999999997,2023-02-09,27136.425000000003,-2888.5799999999945,-0.09620581245531831
1,ETC,2023-04-11,28454.219999999998,2023-04-21,25767.11,-2687.109999999997,-0.09443625585238313
2,ETC,2023-10-23,22361.175,2023-11-16,26016.985,3655.8100000000013,0.16348917263963103
3,ETC,2023-12-04,27103.545,2023-12-13,28655.665,1552.1200000000026,0.057266309628500725
