,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ETH,2021-12-05T00:00:00,2021-12-05T09:00:00,5198000.0,5360000.0,5039000.0,5259000.0,1638748797858,531404756594.43036,101824.30125362,5198000.0,61000.0,0.0117352828
1,KRW-ETH,2021-12-06T00:00:00,2021-12-06T09:00:00,5257000.0,5420000.0,4918000.0,5388000.0,1638835200132,587131435329.5885,114692.35047943,5259000.0,129000.0,0.0245293782
2,KRW-ETH,2021-12-07T00:00:00,2021-12-07T09:00:00,5384000.0,5486000.0,5308000.0,5379000.0,1638921597478,352008051683.43005,65179.87858431,5388000.0,-9000.0,-0.0016703786
3,KRW-ETH,2021-12-08T00:00:00,2021-12-08T09:00:00,5381000.0,5490000.0,5247000.0,5462000.0,1639007999743,312250202857.1074,57978.69986535,5379000.0,83000.0,0.0154303774
4,KRW-ETH,2021-12-09T00:00:00,2021-12-09T09:00:00,5462000.0,5500000.0,5103000.0,5128000.0,1639094399947,294081241472.9208,55425.49227787,5462000.0,-334000.0,-0.061149762
5,KRW-ETH,2021-12-10T00:00:00,2021-12-10T09:00:00,5128000.0,5250000.0,4939000.0,4955000.0,1639180800139,398635536697.1041,78341.30249972,5128000.0,-173000.0,-0.0337363495
6,KRW-ETH,2021-12-11T00:00:00,2021-12-11T09:00:00,4955000.0,5100000.0,4886000.0,5089000.0,1639267200067,226145630910.6432,45145.83484402,4955000.0,134000.0,0.0270433905
7,KRW-ETH,2021-12-12T00:00:00,2021-12-12T09:00:00,5089000.0,5175000.0,5000000.0,5119000.0,1639353599819,167724274770.89297,33114.48254025,5089000.0,30000.0,0.0058950678
8,KRW-ETH,2021-12-13T00:00:00,2021-12-13T09:00:00,5120000.0,5135000.0,4662000.0,4747000.0,1639439999900,447505459814.25494,91931.84106488,5119000.0,-372000.0,-0.0726704434
9,KRW-ETH,2021-12-14T00:00:00,2021-12-14T09:00:00,4748000.0,4825000.0,4566000.0,4781000.0,1639526399132,376651893380.551,79947.03179446,4747000.0,34000.0,0.0071624184
10,KRW-ETH,2021-12-15T00:00:00,2021-12-15T09:00:00,4780000.0,5141000.0,4551000.0,5037000.0,1639612800041,437525893304.8085,90285.06223422,4781000.0,256000.0,0.0535452834
11,KRW-ETH,2021-12-16T00:00:00,2021-12-16T09:00:00,5038000.0,5120000.0,4954000.0,4965000.0,1639699199708,267554027673.66498,53165.96323269,5037000.0,-72000.0,-0.0142942228
12,KRW-ETH,2021-12-17T00:00:00,2021-12-17T09:00:00,4965000.0,4999000.0,4676000.0,4872000.0,1639785599131,335791783208.3432,69380.8533428,4965000.0,-93000.0,-0.0187311178
13,KRW-ETH,2021-12-18T00:00:00,2021-12-18T09:00:00,4869000.0,4964000.0,4734000.0,4933000.0,1639871999370,179911471864.84314,36916.42819397,4872000.0,61000.0,0.0125205255
14,KRW-ETH,2021-12-19T00:00:00,2021-12-19T09:00:00,4932000.0,4999000.0,4865000.0,4899000.0,1639958399598,172399557777.89304,35030.38237327,4933000.0,-34000.0,-0.0068923576
15,KRW-ETH,2021-12-20T00:00:00,2021-12-20T09:00:00,4899000.0,4947000.0,4700000.0,4866000.0,1640044799939,255754689727.83612,53342.44206669,4899000.0,-33000.0,-0.0067360686
16,KRW-ETH,2021-12-21T00:00:00,2021-12-21T09:00:00,4866000.0,4996000.0,4818000.0,4936000.0,1640131199860,239450815721.82962,48674.2670212,4866000.0,70000.0,0.0143855323
17,KRW-ETH,2021-12-22T00:00:00,2021-12-22T09:00:00,4937000.0,4990000.0,4850000.0,4893000.0,1640217598269,183801200817.07352,37319.31737659,4936000.0,-43000.0,-0.0087115073
18,KRW-ETH,2021-12-23T00:00:00,2021-12-23T09:00:00,4893000.0,5010000.0,4802000.0,4971000.0,1640304000065,253148731225.16714,51755.71477436,4893000.0,78000.0,0.0159411404
19,KRW-ETH,2021-12-24T00:00:00,2021-12-24T09:00:00,4971000.0,5025000.0,4913000.0,4937000.0,1640390399720,199532555550.88364,40049.96474363,4971000.0,-34000.0,-0.0068396701
20,KRW-ETH,2021-12-25T00:00:00,2021-12-25T09:00:00,4937000.0,4994000.0,4894000.0,4954000.0,1640476799386,118703904022.24226,24017.01141226,4937000.0,17000.0,0.0034433867
21,KRW-ETH,2021-12-26T00:00:00,2021-12-26T09:00:00,4954000.0,4979000.0,4890000.0,4917000.0,1640563199371,110686382182.91162,22468.34968176,4954000.0,-37000.0,-0.0074687122
22,KRW-ETH,2021-12-27T00:00:00,2021-12-27T09:00:00,4917000.0,4957000.0,4864000.0,4896000.0,1640649598049,130793474415.23866,26616.36273442,4917000.0,-21000.0,-0.0042708969
23,KRW-ETH,2021-12-28T00:00:00,2021-12-28T09:00:00,4896000.0,4899000.0,4630000.0,4650000.0,1640735997968,226682654962.46594,47598.61032631,4896000.0,-246000.0,-0.050245098
24,KRW-ETH,2021-12-29T00:00:00,2021-12-29T09:00:00,4650000.0,4682000.0,4423000.0,4456000.0,1640822399715,206638930993.19547,45101.86807459,4650000.0,-194000.0,-0.0417204301
25,KRW-ETH,2021-12-30T00:00:00,2021-12-30T09:00:00,4457000.0,4578000.0,4402000.0,4506000.0,1640908798584,160542691334.32092,35708.67476671,4456000.0,50000.0,0.0112208259
26,KRW-ETH,2021-12-31T00:00:00,2021-12-31T09:00:00,4505000.0,4628000.0,4461000.0,4505000.0,1640995199448,136926663616.63087,30082.00153897,4506000.0,-1000.0,-0.0002219263
27,KRW-ETH,2022-01-01T00:00:00,2022-01-01T09:00:00,4505000.0,4599000.0,4504000.0,4577000.0,1641081599800,80280456174.97699,17660.11399252,4505000.0,72000.0,0.015982242
28,KRW-ETH,2022-01-02T00:00:00,2022-01-02T09:00:00,4577000.0,4681000.0,4541000.0,4652000.0,1641167999064,82064170253.96738,17866.26362148,4577000.0,75000.0,0.0163862792
29,KRW-ETH,2022-01-03T00:00:00,2022-01-03T09:00:00,4651000.0,4677000.0,4513000.0,4591000.0,1641254400128,115708750070.13058,25092.11311102,4652000.0,-61000.0,-0.0131126397
30,KRW-ETH,2022-01-04T00:00:00,2022-01-04T09:00:00,4591000.0,4743000.0,4516000.0,4619000.0,1641340796722,136950069110.25677,29575.94121495,4591000.0,28000.0,0.0060988891
31,KRW-ETH,2022-01-05T00:00:00,2022-01-05T09:00:00,4619000.0,4672000.0,4240000.0,4382000.0,1641427199875,218993948792.92917,48802.18806316,4619000.0,-237000.0,-0.0513098073
32,KRW-ETH,2022-01-06T00:00:00,2022-01-06T09:00:00,4382000.0,4408000.0,4094000.0,4212000.0,1641513599797,274750212400.4113,65073.35158243,4382000.0,-170000.0,-0.0387950707
33,KRW-ETH,2022-01-07T00:00:00,2022-01-07T09:00:00,4212000.0,4222000.0,3850000.0,3955000.0,1641599999756,372664159339.54175,93597.55268905,4212000.0,-257000.0,-0.0610161443
34,KRW-ETH,2022-01-08T00:00:00,2022-01-08T09:00:00,3956000.0,4009000.0,3766000.0,3860000.0,1641686398996,218185653876.883,56103.74625239,3955000.0,-95000.0,-0.0240202276
35,KRW-ETH,2022-01-09T00:00:00,2022-01-09T09:00:00,3859000.0,3953000.0,3803000.0,3886000.0,1641772797572,127559508348.72668,32896.5601913,3860000.0,26000.0,0.0067357513
36,KRW-ETH,2022-01-10T00:00:00,2022-01-10T09:00:00,3886000.0,3919000.0,3610000.0,3780000.0,1641859199599,274651654425.7455,73195.50144802,3886000.0,-106000.0,-0.0272774061
37,KRW-ETH,2022-01-11T00:00:00,2022-01-11T09:00:00,3781000.0,3978000.0,3727000.0,3965000.0,1641945600086,214232366219.36185,55654.95136052,3780000.0,185000.0,0.0489417989
38,KRW-ETH,2022-01-12T00:00:00,2022-01-12T09:00:00,3965000.0,4144000.0,3921000.0,4092000.0,1642032000192,190387598398.24484,47291.24124517,3965000.0,127000.0,0.0320302648
39,KRW-ETH,2022-01-13T00:00:00,2022-01-13T09:00:00,4092000.0,4143000.0,3940000.0,3946000.0,1642118399416,156194495550.72705,38600.59591717,4092000.0,-146000.0,-0.0356793744
40,KRW-ETH,2022-01-14T00:00:00,2022-01-14T09:00:00,3947000.0,4056000.0,3895000.0,4011000.0,1642204800004,122067486853.21088,30750.07027076,3946000.0,65000.0,0.0164723771
41,KRW-ETH,2022-01-15T00:00:00,2022-01-15T09:00:00,4012000.0,4082000.0,3975000.0,4037000.0,1642291197975,68630103142.41846,17033.09353903,4011000.0,26000.0,0.006482174
42,KRW-ETH,2022-01-16T00:00:00,2022-01-16T09:00:00,4037000.0,4100000.0,3990000.0,4047000.0,1642377599700,72977433217.40543,18065.98309858,4037000.0,10000.0,0.0024770869
43,KRW-ETH,2022-01-17T00:00:00,2022-01-17T09:00:00,4049000.0,4062000.0,3838000.0,3917000.0,1642464000052,108322794278.55981,27376.0171205,4047000.0,-130000.0,-0.0321225599
44,KRW-ETH,2022-01-18T00:00:00,2022-01-18T09:00:00,3917000.0,3939000.0,3750000.0,3821000.0,1642550399368,116678297425.8401,30446.39056344,3917000.0,-96000.0,-0.0245085525
45,KRW-ETH,2022-01-19T00:00:00,2022-01-19T09:00:00,3821000.0,3842000.0,3688000.0,3720000.0,1642636802720,113953499378.775,30321.86844904,3821000.0,-101000.0,-0.026432871
46,KRW-ETH,2022-01-20T00:00:00,2022-01-20T09:00:00,3725000.0,3935000.0,3644000.0,3660000.0,1642723200064,151834231759.27908,40113.6227371,3725000.0,-65000.0,-0.0174496644
