,coin,buy_date,buy,sell_date,sell,profit,profit_rate
0,BTC,2018-01-05,27457722.0,2018-01-11,19379305.5,-8078416.5,-0.29421291759017737
1,BTC,2018-04-20,9556776.0,2018-05-09,10399797.5,843021.5,0.0882119137248796
2,BTC,2018-07-17,8084040.0,2018-07-31,8795600.0,711560.0,0.0880203462625123
3,BTC,2018-08-27,7691844.0,2018-09-15,7359318.5,-332525.5,-0.043230920959915466
0,ETH,2018-01-03,1296147.75,2018-01-15,1791603.75,495456.0,0.3822527177167881
1,ETH,2018-05-03,854126.85,2018-05-10,800599.5,-53527.34999999998,-0.0626690871502283
2,ETH,2018-11-04,236118.0,2018-12-18,112443.75,-123674.25,-0.5237815414326735
0,NEO,2018-01-03,143971.94999999998,2018-01-15,255022.42500000002,111050.47500000003,0.7713341036222684
1,NEO,2018-04-29,98259.105,2018-05-10,76951.505,-21307.59999999999,-0.21685115084245873
2,NEO,2018-09-01,25062.524999999998,2018-09-21,22108.940000000002,-2953.5849999999955,-0.1178486605000891
0,MTL,2018-01-04,16178.085,2018-02-05,3863.0675,-12315.017499999998,-0.7612160215501401
1,MTL,2018-02-18,5542.7699999999995,2018-02-27,4867.5650000000005,-675.204999999999,-0.12181725021965535
2,MTL,2018-03-01,5672.835,2018-03-10,4287.8550000000005,-1384.9799999999996,-0.24414247902503766
3,MTL,2018-04-18,4482.24,2018-05-08,5292.3525,810.1125000000002,0.18073831387877495
4,MTL,2018-09-04,905.4525,2018-09-20,785.6070000000001,-119.8454999999999,-0.13235978695734996
5,MTL,2018-10-11,828.414,2018-10-29,713.643,-114.77099999999996,-0.13854304731692121
0,XRP,2018-09-20,506.253,2018-10-05,589.705,83.45200000000006,0.16484247994579795
1,XRP,2018-11-05,557.2785,2018-11-16,544.7275000000001,-12.55099999999993,-0.02252195266819002
0,ETC,2018-01-09,61930.95,2018-01-12,53663.155000000006,-8267.794999999991,-0.13350021273692703
1,ETC,2018-04-18,18659.325,2018-05-01,23438.275,4778.950000000001,0.25611590987348154
2,ETC,2018-05-06,28214.1,2018-05-11,19430.280000000002,-8783.819999999996,-0.3113273150658712
3,ETC,2018-06-20,19289.64,2018-07-15,18810.59,-479.0499999999993,-0.024834574414037757
4,ETC,2018-08-05,20370.18,2018-08-13,14052.970000000001,-6317.209999999999,-0.31012048003503156
0,SNT,2018-01-01,366.183,2018-01-11,563.7180000000001,197.53500000000008,0.5394433930575698
1,SNT,2018-04-13,119.0595,2018-05-08,174.91250000000002,55.85300000000002,0.46911838198547806
2,SNT,2018-09-04,50.52525,2018-09-19,38.28085,-12.244399999999999,-0.24234219523901412
3,SNT,2018-10-08,46.2231,2018-10-12,39.980000000000004,-6.243099999999998,-0.13506450238084416
4,SNT,2018-10-31,43.021499999999996,2018-11-11,41.17940000000001,-1.8420999999999879,-0.042818125820810245
0,XEM,2018-01-03,2441.22,2018-01-10,1959.0200000000002,-482.1999999999996,-0.19752418872530933
1,XEM,2018-04-14,320.15999999999997,2018-05-07,434.7825,114.62250000000006,0.35801630434782633
2,XEM,2018-09-04,136.06799999999998,2018-09-21,111.944,-24.12399999999998,-0.17729370608813227
3,XEM,2018-10-01,116.05799999999999,2018-10-13,108.94550000000001,-7.112499999999983,-0.061284013165830736
4,XEM,2018-11-12,126.06299999999999,2018-12-05,86.9565,-39.10649999999998,-0.31021394064872315
0,QTUM,2018-01-06,108704.325,2018-01-10,74912.52500000001,-33791.79999999999,-0.3108597565000288
1,QTUM,2018-04-16,18159.075,2018-05-10,20229.88,2070.8050000000003,0.11403692093347267
2,QTUM,2018-10-21,4767.3825,2018-10-30,4247.875,-519.5074999999997,-0.10897122267827256
3,QTUM,2018-12-20,2656.3275,2018-12-28,2623.6875,-32.63999999999987,-0.01228764148998942
0,STEEM,2018-04-12,2851.4249999999997,2018-05-05,4202.8975,1351.4725000000003,0.4739638952453599
1,STEEM,2018-09-24,1055.5275,2018-10-05,916.5415,-138.98599999999988,-0.13167444713662116
0,XLM,2018-04-15,303.1515,2018-05-03,478.76050000000004,175.60900000000004,0.5792780177567983
1,XLM,2018-09-21,278.139,2018-10-11,238.8805,-39.2585,-0.14114705237309402
2,XLM,2018-11-06,298.149,2018-11-16,274.8625,-23.28649999999999,-0.07810356566683098
0,STORJ,2018-04-15,1020.51,2018-05-08,1189.405,168.89499999999998,0.16550058304181242
1,STORJ,2018-10-13,383.19149999999996,2018-10-28,367.81600000000003,-15.375499999999931,-0.04012484619309127
0,GRS,2018-04-02,712.356,2018-05-01,1504.2475000000002,791.8915000000002,1.1116513372527221
1,GRS,2018-07-26,840.42,2018-08-03,627.686,-212.73399999999992,-0.2531281978058589
