,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
0,KRW-ETH,2022-12-05,2022-12-05T09:00:00,1712500.0,1736000.0,1678000.0,1688000.0,1670284798784,47360280335.58779,27626.89059598,1713500.0,-25500.0,-0.0148818208
1,KRW-ETH,2022-12-06,2022-12-06T09:00:00,1688000.0,1702500.0,1668500.0,1699000.0,1670371193513,31593946211.3745,18723.2152135,1688000.0,11000.0,0.0065165877
2,KRW-ETH,2022-12-07,2022-12-07T09:00:00,1699000.0,1706000.0,1634500.0,1651000.0,1670457598543,44482878652.72713,26828.18280443,1699000.0,-48000.0,-0.0282519129
3,KRW-ETH,2022-12-08,2022-12-08T09:00:00,1651000.0,1720000.0,1640000.0,1703500.0,1670543999585,39232909463.18479,23448.70305849,1651000.0,52500.0,0.0317989098
4,KRW-ETH,2022-12-09,2022-12-09T09:00:00,1703500.0,1722500.0,1680000.0,1685000.0,1670630396371,39931357248.88188,23495.11937177,1703500.0,-18500.0,-0.0108599941
5,KRW-ETH,2022-12-10,2022-12-10T09:00:00,1685000.0,1707500.0,1681500.0,1687500.0,1670716799870,21653241308.79677,12815.65008258,1685000.0,2500.0,0.0014836795
6,KRW-ETH,2022-12-11,2022-12-11T09:00:00,1687500.0,1704000.0,1675500.0,1683500.0,1670803199685,16696965742.829475,9875.75455867,1687500.0,-4000.0,-0.0023703704
7,KRW-ETH,2022-12-12,2022-12-12T09:00:00,1682000.0,1696500.0,1652500.0,1694500.0,1670889597309,33864499981.31113,20297.26232075,1683500.0,11000.0,0.0065340065
8,KRW-ETH,2022-12-13,2022-12-13T09:00:00,1693000.0,1762500.0,1658000.0,1721500.0,1670975999862,98411218714.33356,57381.66818205,1694500.0,27000.0,0.0159339038
9,KRW-ETH,2022-12-14,2022-12-14T09:00:00,1721500.0,1761000.0,1706500.0,1707500.0,1671062399576,55504527146.04187,32061.15570552,1721500.0,-14000.0,-0.0081324426
10,KRW-ETH,2022-12-15,2022-12-15T09:00:00,1708000.0,1717000.0,1666500.0,1674000.0,1671148799860,45363986179.79208,26876.15691993,1707500.0,-33500.0,-0.0196193265
11,KRW-ETH,2022-12-16,2022-12-16T09:00:00,1674000.0,1682500.0,1547500.0,1563500.0,1671235199731,92914823876.8965,57734.68015563,1674000.0,-110500.0,-0.0660095579
12,KRW-ETH,2022-12-17,2022-12-17T09:00:00,1563000.0,1575500.0,1538500.0,1575000.0,1671321597681,40717283078.90595,26096.69784848,1563500.0,11500.0,0.0073552926
13,KRW-ETH,2022-12-18,2022-12-18T09:00:00,1574500.0,1584000.0,1557500.0,1571000.0,1671407990017,21776846699.556644,13864.55169752,1575000.0,-4000.0,-0.0025396825
14,KRW-ETH,2022-12-19,2022-12-19T09:00:00,1570500.0,1580000.0,1518500.0,1537000.0,1671494399826,35230705692.01427,22686.95713957,1571000.0,-34000.0,-0.0216422661
15,KRW-ETH,2022-12-20,2022-12-20T09:00:00,1537000.0,1603000.0,1531500.0,1586000.0,1671580799494,60138691783.90965,38125.49864738,1537000.0,49000.0,0.0318802863
16,KRW-ETH,2022-12-21,2022-12-21T09:00:00,1584000.0,1595000.0,1569500.0,1582500.0,1671667171639,33582972431.15557,21225.55903531,1586000.0,-3500.0,-0.0022068096
17,KRW-ETH,2022-12-22,2022-12-22T09:00:00,1582500.0,1609000.0,1546500.0,1583000.0,1671753596679,38381172425.41427,24386.49342984,1582500.0,500.0,0.0003159558
18,KRW-ETH,2022-12-23,2022-12-23T09:00:00,1583000.0,1600000.0,1575500.0,1588500.0,1671839988921,31651223187.671974,19943.34580122,1583000.0,5500.0,0.0034744157
19,KRW-ETH,2022-12-24,2022-12-24T09:00:00,1588500.0,1599000.0,1584000.0,1590500.0,1671926391375,11289507513.29591,7103.47327831,1588500.0,2000.0,0.0012590494
20,KRW-ETH,2022-12-25,2022-12-25T09:00:00,1590500.0,1596500.0,1560000.0,1580500.0,1672012795357,18931265993.085766,11979.05613206,1590500.0,-10000.0,-0.006287331
21,KRW-ETH,2022-12-26,2022-12-26T09:00:00,1580500.0,1582500.0,1557500.0,1573500.0,1672099193947,20738435318.745415,13217.72941708,1580500.0,-7000.0,-0.0044289782
22,KRW-ETH,2022-12-27,2022-12-27T09:00:00,1573000.0,1580000.0,1538500.0,1547000.0,1672185597004,23299058701.564045,14958.7106907,1573500.0,-26500.0,-0.0168414363
23,KRW-ETH,2022-12-28,2022-12-28T09:00:00,1547000.0,1549500.0,1506000.0,1514500.0,1672271999665,45949324902.700165,30225.1559503,1547000.0,-32500.0,-0.0210084034
24,KRW-ETH,2022-12-29,2022-12-29T09:00:00,1514500.0,1541000.0,1503000.0,1531500.0,1672358399435,30885537085.867516,20298.10904091,1514500.0,17000.0,0.0112248267
25,KRW-ETH,2022-12-30,2022-12-30T09:00:00,1530000.0,1532000.0,1500000.0,1524000.0,1672444798739,29471077893.66816,19483.61525262,1531500.0,-7500.0,-0.0048971596
26,KRW-ETH,2022-12-31,2022-12-31T09:00:00,1524000.0,1537000.0,1514000.0,1525000.0,1672531198305,16629168260.79408,10909.81178105,1524000.0,1000.0,0.000656168
27,KRW-ETH,2023-01-01,2023-01-01T09:00:00,1524000.0,1535500.0,1519000.0,1528000.0,1672617597664,10585761629.68307,6939.24978598,1525000.0,3000.0,0.0019672131
28,KRW-ETH,2023-01-02,2023-01-02T09:00:00,1526500.0,1559500.0,1517500.0,1543500.0,1672703997332,24645927521.108807,15985.15740468,1528000.0,15500.0,0.0101439791
29,KRW-ETH,2023-01-03,2023-01-03T09:00:00,1542500.0,1561000.0,1541500.0,1554500.0,1672790397882,20386043318.343586,13129.52565995,1543500.0,11000.0,0.0071266602
30,KRW-ETH,2023-01-04,2023-01-04T09:00:00,1554500.0,1622500.0,1553500.0,1610000.0,1672876798395,39024414057.45501,24454.26040321,1554500.0,55500.0,0.0357027983
31,KRW-ETH,2023-01-05,2023-01-05T09:00:00,1610000.0,1614000.0,1589000.0,1602500.0,1672963198081,24035390201.5543,15009.41414501,1610000.0,-7500.0,-0.0046583851
32,KRW-ETH,2023-01-06,2023-01-06T09:00:00,1602500.0,1619500.0,1575500.0,1610000.0,1673049599788,28642782290.45908,17944.20535514,1602500.0,7500.0,0.0046801872
33,KRW-ETH,2023-01-07,2023-01-07T09:00:00,1609500.0,1615500.0,1603500.0,1609000.0,1673135996715,13168060165.941416,8188.42654967,1610000.0,-1000.0,-0.000621118
34,KRW-ETH,2023-01-08,2023-01-08T09:00:00,1608000.0,1639500.0,1600000.0,1634500.0,1673222397865,15716872311.444904,9740.45544412,1609000.0,25500.0,0.015848353
35,KRW-ETH,2023-01-09,2023-01-09T09:00:00,1633500.0,1688000.0,1627000.0,1663500.0,1673308796337,46209558164.13791,27871.12087451,1634500.0,29000.0,0.0177424289
36,KRW-ETH,2023-01-10,2023-01-10T09:00:00,1661000.0,1693000.0,1654500.0,1680500.0,1673395200038,32742171387.532677,19557.02169213,1663500.0,17000.0,0.0102194169
37,KRW-ETH,2023-01-11,2023-01-11T09:00:00,1680500.0,1745000.0,1668000.0,1739500.0,1673481599567,34755055938.04014,20554.06036094,1680500.0,59000.0,0.0351085986
38,KRW-ETH,2023-01-12,2023-01-12T09:00:00,1738000.0,1800000.0,1718500.0,1770500.0,1673567999758,83479577997.10413,47485.94533828,1739500.0,31000.0,0.017821213
39,KRW-ETH,2023-01-13,2023-01-13T09:00:00,1770000.0,1824000.0,1753000.0,1807000.0,1673654396951,61663275790.71977,34629.79180923,1770500.0,36500.0,0.0206156453
40,KRW-ETH,2023-01-14,2023-01-14T09:00:00,1807000.0,1947500.0,1803500.0,1912000.0,1673740798874,171979417403.1146,90423.82535039,1807000.0,105000.0,0.0581073603
41,KRW-ETH,2023-01-15,2023-01-15T09:00:00,1912000.0,1936000.0,1876000.0,1921000.0,1673827199935,46390615201.47928,24401.15547827,1912000.0,9000.0,0.004707113
42,KRW-ETH,2023-01-16,2023-01-16T09:00:00,1922000.0,1988000.0,1895000.0,1961000.0,1673913598885,61887378863.842926,31947.05590299,1921000.0,40000.0,0.0208224883
43,KRW-ETH,2023-01-17,2023-01-17T09:00:00,1959500.0,1988000.0,1918500.0,1945000.0,1673999999087,50649901177.344246,25945.82345604,1961000.0,-16000.0,-0.0081591025
44,KRW-ETH,2023-01-18,2023-01-18T09:00:00,1945000.0,1995000.0,1875000.0,1881000.0,1674086398630,93722052538.25331,48284.07794865,1945000.0,-64000.0,-0.0329048843
45,KRW-ETH,2023-01-19,2023-01-19T09:00:00,1880500.0,1943500.0,1876000.0,1931500.0,1674172799891,38411160872.64972,20150.04124129,1881000.0,50500.0,0.0268474216
46,KRW-ETH,2023-01-20,2023-01-20T09:00:00,1929000.0,2060000.0,1926000.0,2050000.0,1674259199285,61009776961.28999,30816.94716617,1931500.0,118500.0,0.0613512814
47,KRW-ETH,2023-01-21,2023-01-21T09:00:00,2049000.0,2091000.0,2020000.0,2025000.0,1674345599461,77803984038.61105,37878.83663199,2050000.0,-25000.0,-0.012195122
