,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
10,KRW-STMX,2022-12-15T00:00:00,2022-12-15T09:00:00,6.59,6.8,6.33,6.38,1671148778753,3856252397.348056,589304774.4060504,6.58,-0.2,-0.0303951368
11,KRW-STMX,2022-12-16T00:00:00,2022-12-16T09:00:00,6.38,6.38,5.59,5.69,1671235199827,4114144253.6560493,681725657.5558065,6.38,-0.69,-0.1081504702
12,KRW-STMX,2022-12-17T00:00:00,2022-12-17T09:00:00,5.69,5.72,5.26,5.59,1671321554367,2557135584.1649246,467060503.79205394,5.69,-0.1,-0.0175746924
13,KRW-STMX,2022-12-18T00:00:00,2022-12-18T09:00:00,5.6,5.71,5.46,5.53,1671407954368,2274642745.4492774,407550744.7298648,5.59,-0.06,-0.0107334526
14,KRW-STMX,2022-12-19T00:00:00,2022-12-19T09:00:00,5.52,5.54,4.95,5.17,1671494376862,1583102646.6932151,299156114.51977426,5.53,-0.36,-0.0650994575
15,KRW-STMX,2022-12-20T00:00:00,2022-12-20T09:00:00,5.15,5.46,5.12,5.41,1671580784756,1950357629.5946615,365937231.67000943,5.17,0.24,0.0464216634
16,KRW-STMX,2022-12-21T00:00:00,2022-12-21T09:00:00,5.4,5.54,5.28,5.45,1671667161057,2388854370.4920063,438791830.9057676,5.41,0.04,0.0073937153
17,KRW-STMX,2022-12-22T00:00:00,2022-12-22T09:00:00,5.46,5.48,5.23,5.35,1671753575395,1364563666.0443218,254578547.3378893,5.45,-0.1,-0.0183486239
18,KRW-STMX,2022-12-23T00:00:00,2022-12-23T09:00:00,5.36,5.5,5.3,5.46,1671839878899,1177613260.7054708,217765075.21882093,5.35,0.11,0.0205607477
19,KRW-STMX,2022-12-24T00:00:00,2022-12-24T09:00:00,5.46,5.48,5.37,5.41,1671926253263,537119829.6244264,98973549.66876946,5.46,-0.05,-0.0091575092
20,KRW-STMX,2022-12-25T00:00:00,2022-12-25T09:00:00,5.41,5.44,5.26,5.35,1672012701966,845638456.0570415,157082069.61513865,5.41,-0.06,-0.011090573
21,KRW-STMX,2022-12-26T00:00:00,2022-12-26T09:00:00,5.35,5.36,5.2,5.25,1672099194977,460652400.9539699,87424624.77191848,5.35,-0.1,-0.0186915888
22,KRW-STMX,2022-12-27T00:00:00,2022-12-27T09:00:00,5.27,5.28,5.02,5.05,1672185569253,1039874994.8187554,203158840.59855458,5.25,-0.2,-0.0380952381
23,KRW-STMX,2022-12-28T00:00:00,2022-12-28T09:00:00,5.07,5.07,4.62,4.67,1672271975661,1813634459.6272366,376180549.69778687,5.05,-0.38,-0.0752475248
24,KRW-STMX,2022-12-29T00:00:00,2022-12-29T09:00:00,4.66,4.66,4.4,4.53,1672358359017,2098573237.7210824,462332694.10828906,4.67,-0.14,-0.0299785867
25,KRW-STMX,2022-12-30T00:00:00,2022-12-30T09:00:00,4.55,4.57,4.25,4.42,1672444755918,1032755313.4407083,235441538.61309916,4.53,-0.11,-0.0242825607
26,KRW-STMX,2022-12-31T00:00:00,2022-12-31T09:00:00,4.42,4.53,4.39,4.5,1672531082725,847265423.1689146,189884718.94077975,4.42,0.08,0.0180995475
27,KRW-STMX,2023-01-01T00:00:00,2023-01-01T09:00:00,4.49,4.56,4.45,4.53,1672617559337,707102479.743043,156626661.74519455,4.5,0.03,0.0066666667
28,KRW-STMX,2023-01-02T00:00:00,2023-01-02T09:00:00,4.55,4.76,4.44,4.67,1672703993687,1012362092.0635104,220724886.83479244,4.53,0.14,0.0309050773
29,KRW-STMX,2023-01-03T00:00:00,2023-01-03T09:00:00,4.67,4.83,4.65,4.8,1672790382313,606805750.699525,127911427.9406195,4.67,0.13,0.0278372591
30,KRW-STMX,2023-01-04T00:00:00,2023-01-04T09:00:00,4.79,4.95,4.76,4.89,1672876757835,704779180.1147416,145784888.28334025,4.8,0.09,0.01875
31,KRW-STMX,2023-01-05T00:00:00,2023-01-05T09:00:00,4.92,4.92,4.74,4.81,1672963157330,1353648243.0762243,280717288.29961437,4.89,-0.08,-0.0163599182
32,KRW-STMX,2023-01-06T00:00:00,2023-01-06T09:00:00,4.81,4.86,4.6,4.85,1673049599199,628778673.1905415,132795174.2261877,4.81,0.04,0.0083160083
33,KRW-STMX,2023-01-07T00:00:00,2023-01-07T09:00:00,4.85,4.88,4.79,4.82,1673135989425,431437808.45802295,89370068.75019541,4.85,-0.03,-0.006185567
34,KRW-STMX,2023-01-08T00:00:00,2023-01-08T09:00:00,4.81,4.98,4.76,4.95,1673222393910,705032465.5991468,145081944.6854741,4.82,0.13,0.0269709544
35,KRW-STMX,2023-01-09T00:00:00,2023-01-09T09:00:00,4.95,5.21,4.92,5.06,1673308797586,1292308445.0908122,255239261.25064513,4.95,0.11,0.0222222222
36,KRW-STMX,2023-01-10T00:00:00,2023-01-10T09:00:00,5.06,5.43,5.0,5.3,1673395190380,8586030461.9162245,1636012772.5075476,5.06,0.24,0.04743083
