,coin,buy_date,buy,sell_date,sell,profit,profit_rate
2,EOS,2021-03-20,5042.5199999999995,2021-04-20,8340.827500000001,3298.3075000000017,0.6540990417489672
3,EOS,2021-05-06,14037.015,2021-05-19,7861.0675,-6175.947499999999,-0.4399758424422856
4,EOS,2021-08-07,5257.6275,2021-08-24,5962.0175,704.3900000000003,0.13397487745185455
5,EOS,2021-09-05,7198.5975,2021-09-08,5722.137500000001,-1476.4599999999991,-0.20510384140799637
6,EOS,2021-11-09,6278.1375,2021-12-11,4242.8775000000005,-2035.2599999999993,-0.32418213204154883
0,TRX,2021-01-09,38.51925,2021-01-21,30.9845,-7.534749999999999,-0.1956099872141851
1,TRX,2021-01-29,36.71835,2021-02-23,50.67465000000001,13.956300000000006,0.3800906086466305
2,TRX,2021-03-19,68.6343,2021-04-12,167.916,99.2817,1.446531836122755
3,TRX,2021-08-05,80.84039999999999,2021-08-23,103.94800000000001,23.10760000000002,0.28584222740115117
4,TRX,2021-09-02,115.05749999999999,2021-09-08,111.944,-3.1134999999999877,-0.02706038285205213
5,TRX,2021-09-12,135.0675,2021-09-20,113.94300000000001,-21.124499999999983,-0.15639957798878326
6,TRX,2021-10-09,126.06299999999999,2021-10-29,118.9405,-7.122499999999988,-0.056499528013770804
7,TRX,2021-11-08,133.0665,2021-11-20,129.935,-3.1314999999999884,-0.02353334610890035
0,SC,2021-01-28,6.24312,2021-02-22,14.392800000000001,8.14968,1.3053857686541344
1,SC,2021-03-13,15.6078,2021-03-27,28.3858,12.778,0.8186932174938173
2,SC,2021-04-02,38.4192,2021-04-23,41.07945,2.660250000000005,0.06924272238880573
3,SC,2021-07-30,16.208099999999998,2021-08-19,21.5892,5.3811000000000035,0.33200066633350017
4,SC,2021-08-23,24.2121,2021-08-30,23.28835,-0.9237499999999983,-0.03815241139760691
5,SC,2021-09-04,27.8139,2021-09-07,23.28835,-4.525549999999999,-0.1627082142382046
6,SC,2021-10-08,24.6123,2021-10-27,20.1899,-4.4224,-0.17968251646534456
7,SC,2021-10-31,24.31215,2021-11-14,23.988,-0.3241499999999995,-0.013332839752963004
8,SC,2021-11-20,26.71335,2021-12-03,26.68665,-0.02669999999999817,-0.000999500249874994
0,ONT,2021-01-09,723.3615,2021-01-22,630.6845000000001,-92.67699999999991,-0.12811989579207617
1,ONT,2021-02-07,749.3745,2021-02-24,1144.4275,395.053,0.527176998950458
2,ONT,2021-03-23,1640.82,2021-04-10,2613.6925,972.8725000000002,0.5929184797844981
3,ONT,2021-04-16,3051.5249999999996,2021-04-18,3213.3925000000004,161.86750000000075,0.05304478908086965
4,ONT,2021-05-06,3276.6375,2021-05-15,2478.76,-797.8774999999996,-0.24350496507471445
5,ONT,2021-07-30,939.4694999999999,2021-08-21,1259.3700000000001,319.9005000000002,0.3405118526998484
6,ONT,2021-09-04,1430.715,2021-09-07,1204.3975,-226.31749999999988,-0.15818489356720233
7,ONT,2021-10-08,1375.6875,2021-10-18,1134.4325000000001,-241.25499999999988,-0.17537049656989678
