,Unnamed: 0,coin,buy_date,buy,sell_date,sell,profit,profit_rate
54,6,XEM,2020-12-18,330.165,2020-12-22,312.8435,-17.321499999999958,-0.0524631623582147
55,0,QTUM,2020-01-12,2016.0075,2020-02-16,2948.525,932.5175000000002,0.4625565629096123
56,1,QTUM,2020-04-25,1805.9025,2020-05-10,1774.1125000000002,-31.789999999999736,-0.0176033866723146
57,2,QTUM,2020-05-22,2131.065,2020-06-12,2098.9500000000003,-32.11499999999978,-0.0150699298238203
58,3,QTUM,2020-07-08,2376.1875,2020-07-23,2783.6075,407.4200000000001,0.1714595333911991
59,4,QTUM,2020-08-01,3126.5625,2020-08-29,4027.985,901.4225,0.2883110444777612
60,5,QTUM,2020-11-17,2426.2125,2020-12-05,2953.5225,527.31,0.2173387533037604
61,0,STEEM,2020-01-14,154.077,2020-02-19,267.86600000000004,113.78900000000004,0.7385203502145035
62,1,STEEM,2020-03-19,397.1985,2020-03-28,183.908,-213.29049999999995,-0.5369871739193375
63,2,STEEM,2020-04-26,224.112,2020-05-10,201.899,-22.212999999999997,-0.099115620761048
64,3,STEEM,2020-05-19,265.1325,2020-06-11,228.8855,-36.24699999999999,-0.1367127756876278
65,4,STEEM,2020-07-08,257.1285,2020-07-18,245.877,-11.251499999999965,-0.0437582765037713
66,5,STEEM,2020-07-21,262.131,2020-07-27,238.8805,-23.25049999999996,-0.0886980174035118
67,6,STEEM,2020-08-10,273.1365,2020-08-29,278.8605,5.7239999999999895,0.020956554689688
68,7,STEEM,2020-11-18,178.089,2020-12-12,185.907,7.818000000000012,0.0438993986152991
69,0,XLM,2020-02-04,76.4382,2020-02-17,85.95700000000001,9.518800000000011,0.1245293583574706
70,1,XLM,2020-04-23,75.0375,2020-05-07,86.65665000000001,11.61915000000002,0.1548445777111446
71,2,XLM,2020-06-01,89.74485,2020-06-12,87.45625000000001,-2.288599999999988,-0.0255011847476483
72,3,XLM,2020-07-08,101.0505,2020-07-27,109.945,8.894500000000008,0.0880203462625123
73,4,XLM,2020-08-01,126.063,2020-08-10,124.9375,-1.1254999999999882,-0.0089280756447172
74,5,XLM,2020-08-16,133.0665,2020-09-29,86.3568,-46.709699999999984,-0.3510252392600691
75,6,XLM,2020-10-16,91.2456,2020-10-29,87.45625000000001,-3.7893499999999847,-0.041529125787983
76,7,XLM,2020-11-17,95.2476,2020-12-04,178.9105,83.66290000000002,0.8783727883957184
77,0,STORJ,2020-01-15,139.0695,2020-02-22,189.905,50.8355,0.3655402514570052
78,1,STORJ,2020-04-26,128.064,2020-05-10,123.938,-4.125999999999991,-0.0322182658670663
79,2,STORJ,2020-05-20,145.0725,2020-06-02,159.92000000000002,14.847500000000023,0.1023453790346208
80,3,STORJ,2020-06-10,195.0975,2020-06-27,182.9085,-12.188999999999991,-0.0624764540806519
81,4,STORJ,2020-07-15,213.1065,2020-07-17,200.8995,-12.206999999999963,-0.0572812185456565
82,5,STORJ,2020-07-23,225.1125,2020-07-27,193.903,-31.209499999999963,-0.1386395691043365
83,6,STORJ,2020-08-09,246.123,2020-09-04,719.64,473.517,1.9239039017076829
84,7,STORJ,2020-10-10,730.365,2020-10-16,496.7515,-233.6135,-0.3198585638687505
85,8,STORJ,2020-11-24,440.22,2020-12-10,371.814,-68.40599999999995,-0.1553904865748942
86,9,STORJ,2020-12-19,421.2105,2020-12-27,334.83250000000004,-86.37799999999993,-0.2050708612439621
87,0,GRS,2020-01-13,222.111,2020-02-18,318.8405,96.72950000000004,0.4355007181094139
88,1,GRS,2020-04-26,203.1015,2020-05-13,173.913,-29.188499999999976,-0.1437138573570356
89,2,GRS,2020-05-23,199.0995,2020-06-19,271.86400000000003,72.76450000000006,0.365468019758965
90,3,GRS,2020-07-21,243.1215,2020-07-23,235.882,-7.239499999999992,-0.0297772924237469
91,4,GRS,2020-07-29,275.1375,2020-08-22,269.865,-5.27249999999998,-0.0191631456998772
92,5,GRS,2020-08-24,303.1515,2020-08-27,263.868,-39.2835,-0.1295837229899901
93,6,GRS,2020-08-29,310.155,2020-09-02,267.86600000000004,-42.28899999999993,-0.1363479550547305
94,7,GRS,2020-11-10,217.1085,2020-11-30,236.8815,19.773000000000025,0.0910742785289384
95,0,ADA,2020-01-28,57.6288,2020-02-15,74.46275,16.83395,0.2921100213781998
96,1,ADA,2020-04-23,49.4247,2020-05-10,58.27085,8.846150000000009,0.178982371162597
97,2,ADA,2020-05-18,65.33264999999999,2020-06-13,95.05245,29.719800000000006,0.4548996558382372
98,3,ADA,2020-07-01,116.058,2020-07-19,147.92600000000002,31.868000000000023,0.2745868445087803
99,4,ADA,2020-07-25,166.083,2020-08-02,156.9215,-9.16149999999999,-0.0551621779471709
100,5,ADA,2020-11-20,131.0655,2020-12-05,173.913,42.847500000000025,0.3269166943245936
101,0,SBD,2020-01-14,730.365,2020-02-15,1129.4350000000002,399.07000000000016,0.5463980338597827
102,1,SBD,2020-03-18,1110.5549999999998,2020-04-21,1194.4025,83.84750000000031,0.0755005380192789
103,2,SBD,2020-04-27,1300.65,2020-05-07,1214.3925000000002,-86.25749999999971,-0.0663187636950753
104,3,SBD,2020-05-20,1340.6699999999998,2020-06-14,1264.3675,-76.30249999999978,-0.0569137073254416
105,4,SBD,2020-07-22,1270.635,2020-08-03,1229.385,-41.25,-0.0324640829191703
106,5,SBD,2020-08-17,1305.6525,2020-08-29,1229.385,-76.26749999999993,-0.0584133220745948
107,6,SBD,2020-10-09,1195.5975,2020-11-14,1094.4525,-101.14499999999975,-0.0845978684298016
108,7,SBD,2020-11-18,1770.885,2020-11-29,1314.3425,-456.5425,-0.2578047134624778
109,8,SBD,2020-12-01,2621.31,2020-12-10,2808.5950000000003,187.2850000000003,0.0714471008770425
110,0,BTG,2020-01-08,7093.544999999999,2020-02-01,19660.165,12566.620000000004,1.7715570987425897
111,1,BTG,2020-02-09,22901.445,2020-02-15,22268.86,-632.5849999999991,-0.0276220561628316
112,2,BTG,2020-04-08,11335.665,2020-05-11,10664.665,-670.9999999999982,-0.0591937041188142
113,3,BTG,2020-06-28,11775.885,2020-07-16,11144.425,-631.4599999999991,-0.0536231459461432
114,4,BTG,2020-07-27,12566.28,2020-08-19,12613.69,47.41000000000167,0.003772795131097
115,5,BTG,2020-11-16,8649.3225,2020-11-29,10164.915,1515.5925000000009,0.1752267301860927
116,0,ICX,2020-04-01,298.149,2020-05-07,337.831,39.682000000000016,0.1330945265622223
117,1,ICX,2020-05-20,413.2065,2020-06-07,401.799,-11.40749999999997,-0.0276072617444303
118,2,ICX,2020-07-07,464.232,2020-07-21,488.7555,24.52350000000007,0.0528259577107999
119,3,ICX,2020-08-09,504.252,2020-09-03,528.7355,24.48350000000005,0.0485540959678891
120,4,ICX,2020-11-21,443.2215,2020-12-06,449.775,6.553500000000042,0.0147860606942579
121,0,EOS,2020-01-06,3256.6275,2020-02-15,5502.2475,2245.620000000001,0.6895538405912255
