,kimp,revp,winrate,won_total
0,1.5,-1.0,0.8571428571428571,108338891.26184528
1,1.5,-0.9,1.0,108426759.569573
2,1.5,-0.8,1.0,108255815.01356359
3,1.5,-0.7000000000000001,1.0,108137869.88663188
4,1.5,-0.6000000000000001,1.0,108941340.26044816
5,1.5,-0.5000000000000001,1.0,108568779.32303593
6,1.5,-0.40000000000000013,1.0,109338319.96705396
7,1.5,-0.30000000000000016,0.9090909090909091,109368655.05657016
8,1.5,-0.20000000000000018,0.8461538461538461,110509924.98959474
9,1.5,-0.1000000000000002,0.8571428571428571,111963062.70074579
10,1.5,-2.220446049250313e-16,0.8125,112114067.47317907
11,1.5,0.09999999999999964,0.7647058823529411,111222415.0823307
12,1.5,0.19999999999999973,0.7368421052631579,116101742.46021852
13,1.5,0.2999999999999998,0.65,117115536.5177376
14,1.5,0.3999999999999997,0.7272727272727273,117148631.3077034
15,1.5,0.49999999999999956,0.6923076923076923,116978378.74720177
16,1.5,0.5999999999999996,0.6333333333333333,116961613.05024987
17,1.5,0.6999999999999997,0.71875,121346338.03240916
18,1.5,0.7999999999999996,0.6842105263157895,123245251.2088961
19,1.5,0.8999999999999995,0.6739130434782609,127139435.03873028
20,1.5,0.9999999999999996,0.6833333333333333,129411111.91023129
21,1.5,1.0999999999999996,0.6351351351351351,131814706.66201478
22,1.5,1.1999999999999993,0.6020408163265306,133248641.84600006
23,1.5,1.2999999999999994,0.581081081081081,129453892.18181443
24,1.5,1.3999999999999995,0.44932432432432434,125250707.96618119
25,1.6,-1.0,1.0,107154046.10809577
26,1.6,-0.9,1.0,107832739.71465832
27,1.6,-0.8,1.0,107669338.79522255
28,1.6,-0.7000000000000001,1.0,107603482.3286035
29,1.6,-0.6000000000000001,0.875,108716843.18123922
30,1.6,-0.5000000000000001,0.875,108364865.27058053
31,1.6,-0.40000000000000013,1.0,109517183.4195588
32,1.6,-0.30000000000000016,1.0,109600292.49323118
33,1.6,-0.20000000000000018,1.0,110604460.6946814
34,1.6,-0.1000000000000002,0.9230769230769231,111122294.60240395
35,1.6,-2.220446049250313e-16,0.8666666666666667,111473970.13955432
36,1.6,0.09999999999999964,0.75,110954797.1618881
37,1.6,0.19999999999999973,0.7647058823529411,114975464.77009684
38,1.6,0.2999999999999998,0.6666666666666666,116081424.71728554
39,1.6,0.3999999999999997,0.75,116163453.18306552
40,1.6,0.49999999999999956,0.6363636363636364,115062397.78087193
41,1.6,0.5999999999999996,0.6923076923076923,115766646.24953784
42,1.6,0.6999999999999997,0.6785714285714286,119428595.04646274
43,1.6,0.7999999999999996,0.7096774193548387,122169606.95632249
44,1.6,0.8999999999999995,0.6216216216216216,126604995.31936955
45,1.6,0.9999999999999996,0.64,129278564.76361133
46,1.6,1.0999999999999996,0.6666666666666666,131562451.11271916
47,1.6,1.1999999999999993,0.5945945945945946,133973556.6810368
48,1.6,1.2999999999999994,0.6095238095238096,133283801.99976037
49,1.6,1.3999999999999995,0.5783132530120482,133228771.48008028
50,1.7000000000000002,-1.0,1.0,107890723.91048202
51,1.7000000000000002,-0.9,1.0,108470085.61623015
52,1.7000000000000002,-0.8,1.0,108304707.01022977
53,1.7000000000000002,-0.7000000000000001,1.0,108217696.85630696
54,1.7000000000000002,-0.6000000000000001,1.0,109287715.17228237
55,1.7000000000000002,-0.5000000000000001,0.875,108933609.93661503
